19127000
24022001
Nguyen Van B
24 02 2001
2020 04 06 7 30 11 30 -1
2020 04 13 7 30 11 30 -1
2020 04 20 7 30 11 30 -1
2020 04 27 7 30 11 30 -1
2020 05 04 7 30 11 30 -1
2020 05 11 7 30 11 30 -1
2020 05 18 7 30 11 30 -1
2020 05 25 7 30 11 30 -1
2020 06 01 7 30 11 30 -1
2020 06 08 7 30 11 30 -1
1

19127001
01032001
Nguyen Thi B
01 03 2001
2020 04 06 7 30 11 30 -1
2020 04 13 7 30 11 30 -1
2020 04 20 7 30 11 30 -1
2020 04 27 7 30 11 30 -1
2020 05 04 7 30 11 30 -1
2020 05 11 7 30 11 30 -1
2020 05 18 7 30 11 30 -1
2020 05 25 7 30 11 30 -1
2020 06 01 7 30 11 30 -1
2020 06 08 7 30 11 30 -1
1

19127002
05072001
Nguyen Van H
05 07 2001
2020 04 06 7 30 11 30 -1
2020 04 13 7 30 11 30 -1
2020 04 20 7 30 11 30 -1
2020 04 27 7 30 11 30 -1
2020 05 04 7 30 11 30 -1
2020 05 11 7 30 11 30 -1
2020 05 18 7 30 11 30 -1
2020 05 25 7 30 11 30 -1
2020 06 01 7 30 11 30 -1
2020 06 08 7 30 11 30 -1
1

19127003
11092001
Nguyen Thi F
11 09 2001
2020 04 06 7 30 11 30 -1
2020 04 13 7 30 11 30 -1
2020 04 20 7 30 11 30 -1
2020 04 27 7 30 11 30 -1
2020 05 04 7 30 11 30 -1
2020 05 11 7 30 11 30 -1
2020 05 18 7 30 11 30 -1
2020 05 25 7 30 11 30 -1
2020 06 01 7 30 11 30 -1
2020 06 08 7 30 11 30 -1
1



Nguyen Thi F
11 09 2001
2020 04 06 7 30 11 30 -858993460
2020 04 13 7 30 11 30 -858993460
2020 04 20 7 30 11 30 -858993460
2020 04 27 7 30 11 30 -858993460
2020 05 04 7 30 11 30 -858993460
2020 05 11 7 30 11 30 -858993460
2020 05 18 7 30 11 30 -858993460
2020 05 25 7 30 11 30 -858993460
2020 06 01 7 30 11 30 -858993460
2020 06 08 7 30 11 30 -858993460
-858993460

